relevance,confidence,primary_category,specific_use,reasoning,hs10_code,description
Low,95,Not_DC_Related,Not applicable to data center operations,"This is cotton yarn used in textile manufacturing. Cotton yarn has no applications in AI data center construction or operations, which require specialized materials like copper wiring, fiber optics, semiconductors, and cooling/electrical components. This is clearly a textile industry product.",5206420000,"COTTON YRN (OTH THAN SEW THRD) 85% LESS BY WGT OF COT, NOT FOR RETAIL SALE: MULTI(FLDED)/CABLED YRN OF COMBED FIBER GT 14NM & LT 43NM PER SINGLE YARN"
Low,95,Not_DC_Related,Not applicable to data center construction or operations,"This is cotton yarn for textile manufacturing, which has no application in AI data center construction, electrical systems, cooling infrastructure, or computing equipment. Data centers use synthetic materials, metals, and semiconductors rather than natural textile fibers.",5206430000,"COTTON YARN (OTHER THAN SEW THRD) 85% LESS BY WGT OF COT, NOT FOR RETAIL SALE: MULTI(FLDED)/CABLED YRN OF COMBD FIBER GT 43NM & LT 52NM"
Low,95,Not_DC_Related,Not applicable - textile manufacturing product,"This is cotton yarn for textile manufacturing, which has no direct or indirect application in AI data center construction or operations. Data centers use specialized electronic, electrical, mechanical, and structural components, not textile yarns.",5206440000,COT YRN (OTHER THAN SEW THREAD) 85% LESS BY WT OF COT N/PUT UP FOR RET SALE MULTI (FOLDED)/CABLED YRN OF COMBED FIBER > 52NM & < 80NM PER SINGLE YRN
Low,95,Not_DC_Related,Not applicable - textile material not used in data center construction or operations,"This is cotton yarn used for textile manufacturing. Data centers do not use cotton yarn in their construction, electrical systems, cooling systems, compute hardware, or operations. This is clearly a textile industry product with no relevance to AI data center infrastructure.",5206450000,COTTON YARN (OTHER THAN SEW THREAD) 85% LESS BY WT OF COTTON NOT PUT UP FOR RET SALE MULTI (FOLDED)/CABLED YARN OF COMBED FIBERS >80NM PER SINGLE YARN
Low,95,Not_DC_Related,Not applicable - textile product for consumer/industrial sewing applications,"Cotton yarn is a textile material used for sewing, weaving, and fabric production. This has no application in AI data center construction or operations, which require specialized hardware, electrical, cooling, and building materials.",5207100000,COTTON YARN (OTHER THAN SEWING THREAD) PUT UP FOR RETAIL SALE CONTAINING 85% OR MORE BY WEIGHT OF COTTON
Low,95,Not_DC_Related,Not applicable to data center operations,"Cotton yarn is a textile product used for fabric manufacturing, clothing, and consumer goods. It has no application in AI data center construction, electrical systems, cooling infrastructure, or computing hardware. Data centers require specialized industrial materials like copper wire, fiber optic cables, and electronic components, not textile yarns.",5207900000,COTTON YARN (OTH THAN SEWING THREAD) FOR RETAIL SALE CONTAINING 85% LESS BY WEIGHT OF COTTON
Low,95,Not_DC_Related,Not applicable to data center construction or operations,"This is a textile product - woven cotton fabric used for clothing, home textiles, or general industrial applications. Cotton fabrics have no direct or indirect application in AI data center construction, electrical systems, cooling infrastructure, or computing hardware.",5208112020,WOV FABRICS OF COTTON CONTG 85% OR MORE BY WT OF COTTON WEIGHING NOT MORE THAN 100 G/M2 UNBLCHD PLAIN WEAVE OF NUMBER 42 OR LOWER POPLIN OR BROADCLOTH
Low,95,Not_DC_Related,Not applicable to data center operations,"This is cotton sheeting fabric, which is a textile product used for bedding, clothing, or general textile applications. It has no direct or indirect use in AI data center construction or operations, which require specialized technical equipment for computing, networking, cooling, electrical systems, and building infrastructure.",5208112040,WOVEN FABRIC OF COTTON CONTAINING 85% OR GT BY WEIGHT OF COTTON WEIGHING NOT MORE THAN 100 G/M2 UNBLEACHED PLAIN WEAVE OF NUMBER 42 OR LOWER SHEETING
Low,95,Not_DC_Related,Not applicable to data center operations,"This is cheesecloth, a lightweight cotton fabric used for culinary, medical, or general textile applications. It has no role in AI data center construction or operations, which require specialized technical materials and equipment.",5208112090,WOVEN FABRICS OF COTTON CONTAINING 85% OR MORE BY WT OF COTTON WEIGHING NOT MORE THAN 100G/M2 UNBLEACHED PLAIN WEAVE OF NUMBER 42 OR LOWER CHEESECLOTH
Low,95,Not_DC_Related,Not applicable to data center construction or operations,"This is unbleached cotton fabric (poplin/broadcloth) used primarily in textile manufacturing for clothing, home textiles, or other fabric applications. Cotton fabrics have no relevant application in AI data center construction, electrical systems, cooling infrastructure, or computing hardware.",5208114020,WOVEN FABRIC OF COT CONTAINING 85% OR GT BY WEIGHT OF COT WEIGHING NOT MORE THAN 100 G/M2 UNBLEACHED PLAIN WEAVE OF # BETWEEN 43-68 POPLIN OR BRDCLTH
